 RespId,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q2_7,Q2_8,Q2_9,Q2_10,Q20,Q21,Q22,Q23,Q24,Q25_1,Q25_2,Q25_3,Q25_4,Q25_5,Q25_6,Q26_1,Q26_2,Q26_3,Q26_4,Q26_5,Q26_6,Q26_7,Q26_8,Q27_1,Q27_2,Q27_3,Q27_4,Q27_5,Q27_6,Q27_7,Q27_8,Q27_9,Q27_10
470035,Very important,Somewhat important,Very important,Not at all important,Very important,Not at all important,Not so important,Somewhat important,Not at all important,Somewhat important,,No,Mail-in/Absentee ballot,Very closely,Always/almost always,Yes,Yes,Yes,Yes,Yes,Yes,,Agree,Agree,,,,,,,,,,,,,,,
470036,Somewhat important,Somewhat important,Somewhat important,Not so important,Very important,Not so important,Somewhat important,Somewhat important,Very important,Not so important,Doesn't matter,No,Mail-in/Absentee ballot,Not very closely,Never,No,No,No,No,No,No,,,,,,,,,,,Agree,Agree,,,,,,
470037,Very important,Somewhat important,Somewhat important,Very important,Very important,Very important,Very important,Very important,Somewhat important,Not so important,,3.0,Mail-in/Absentee ballot,Somewhat closely,Always/almost always,Yes,Yes,Yes,Yes,Yes,Yes,Agree,,,,,,,,,,,,,,,,,
470038,Very important,Very important,,,Very important,Very important,Very important,Very important,Very important,Not at all important,,Yes,In-person on Election Day,Very closely,Always/almost always,Yes,Yes,Yes,Yes,Yes,Yes,Agree,,,Agree,Agree,,,,,,,,,,,,,
470039,Very important,Very important,Very important,Not so important,Very important,Very important,Very important,Somewhat important,Very important,Somewhat important,,Yes,In-person on Election Day,Very closely,Always/almost always,Yes,Yes,Yes,Yes,Yes,Yes,Agree,,,,,,,,,,,,,,,,,
470040,Very important,Somewhat important,Somewhat important,Not so important,Very important,Not so important,Not so important,Somewhat important,Not at all important,Not so important,,Yes,In-person before Election Day,Not very closely,Always/almost always,Yes,Yes,Yes,Yes,Yes,Yes,Agree,,,,,,Agree,,,,,,,,,,,
470042,Very important,Somewhat important,Somewhat important,Very important,Very important,Very important,Very important,Somewhat important,Somewhat important,Not so important,,No,In-person on Election Day,Somewhat closely,Always/almost always,Yes,Yes,Yes,Yes,Yes,Yes,Agree,,,,Agree,Agree,Agree,,,,,,,,,,,
470043,Very important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Very important,Very important,,No,Mail-in/Absentee ballot,Somewhat closely,Rarely,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,Agree,,Agree,,,,,,,,,
470044,Somewhat important,Very important,Somewhat important,Not so important,Very important,Not so important,Very important,Very important,Somewhat important,Very important,,3.0,In-person on Election Day,Not very closely,Always/almost always,Yes,Yes,Yes,Yes,Yes,Yes,Agree,Agree,Agree,,,,,,,,,,,,,,,
470045,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Somewhat important,Very important,Not so important,,No,In-person on Election Day,Very closely,Always/almost always,Yes,Yes,Yes,Yes,Yes,Yes,Agree,,Agree,,Agree,Agree,Agree,,,,,,,,,,,
470046,Very important,Very important,Very important,Not at all important,Very important,Not so important,Not so important,Somewhat important,Not at all important,Very important,,No,Mail-in/Absentee ballot,Very closely,Always/almost always,Yes,Yes,Yes,No,No,No,Agree,,,,Agree,,Agree,,,,,,,,,,,
480053,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,,,No,Mail-in/Absentee ballot,Somewhat closely,Always/almost always,No,Yes,No,Yes,No,Yes,Agree,,,Agree,Agree,,,,,,,,,,,,,
470049,Somewhat important,Not so important,Not so important,Not so important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,,No,Mail-in/Absentee ballot,Not very closely,Sometimes,Yes,Yes,Yes,Yes,Yes,Yes,,Agree,,,,,,,Agree,,,,,,,,,
470050,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Somewhat important,Very important,Somewhat important,,3.0,Mail-in/Absentee ballot,Somewhat closely,Always/almost always,No,Yes,,Yes,,Yes,Agree,,,,,,,,,,,,,,,,,
480056,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Somewhat important,Very important,,No,In-person on Election Day,Very closely,Always/almost always,Yes,Yes,Yes,Yes,Yes,Yes,Agree,,,,,,,,,,,,,,,,,
470051,Somewhat important,Very important,Somewhat important,Very important,Very important,Not so important,Not at all important,Somewhat important,Very important,Very important,Doesn't matter,Yes,Mail-in/Absentee ballot,Not very closely,Never,No,No,No,No,No,No,,,,,,,,,,,,,,,,,Agree,
470052,Somewhat important,Very important,Not so important,Not at all important,Very important,Not at all important,Somewhat important,Somewhat important,Very important,Somewhat important,,Yes,Mail-in/Absentee ballot,Somewhat closely,Always/almost always,Yes,Yes,Yes,Yes,Yes,Yes,Agree,Agree,,Agree,,Agree,Agree,,,,,,,,,,,
470053,Very important,Very important,Very important,Very important,Very important,Somewhat important,Somewhat important,Very important,Very important,Very important,,No,Mail-in/Absentee ballot,Very closely,Always/almost always,Yes,Yes,Yes,Yes,Yes,Yes,Agree,,,,,,Agree,,,,,,,,,,,
470056,Very important,Somewhat important,Very important,Somewhat important,Very important,Very important,Somewhat important,Very important,Not at all important,Very important,,No,Mail-in/Absentee ballot,Very closely,Always/almost always,Yes,Yes,Yes,Yes,Yes,Yes,Agree,,Agree,,,,Agree,,,,,,,,,,,
470057,Very important,Somewhat important,Very important,Very important,Not so important,Somewhat important,Somewhat important,Not so important,Very important,Very important,,Yes,In-person before Election Day,Very closely,Always/almost always,Yes,Yes,Yes,Yes,Yes,Yes,Agree,,Agree,Agree,Agree,,Agree,,,,,,,,,,,
470058,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Not at all important,,Yes,Mail-in/Absentee ballot,Somewhat closely,Always/almost always,Yes,Yes,Yes,Yes,Yes,Yes,Agree,,,Agree,,,,,,,,,,,,,,
470059,Very important,Very important,Very important,Not at all important,Very important,Somewhat important,Very important,Somewhat important,Somewhat important,Very important,,No,Mail-in/Absentee ballot,Very closely,Always/almost always,Yes,Yes,Yes,Yes,Yes,Yes,,,Agree,,,,,,,,,,,,,,,
470061,Very important,Very important,Very important,Somewhat important,Very important,Somewhat important,Somewhat important,Very important,Very important,Somewhat important,,No,In-person on Election Day,Very closely,Always/almost always,Yes,Yes,Yes,Yes,Yes,Yes,Agree,,,,,,,,,,,,,,,,,
470062,Very important,Very important,Somewhat important,Somewhat important,Very important,Somewhat important,Very important,Somewhat important,Very important,Not so important,,Yes,In-person on Election Day,Somewhat closely,Always/almost always,Yes,Yes,Yes,Yes,Yes,Yes,Agree,,,,Agree,,,,,,,,,,,,,
470064,Very important,Very important,Somewhat important,Somewhat important,Very important,Very important,Very important,Very important,Very important,Not so important,,No,Mail-in/Absentee ballot,Somewhat closely,Always/almost always,Yes,Yes,Yes,Yes,Yes,Yes,Agree,,Agree,,Agree,Agree,Agree,Agree,,,,,,,,,,
470065,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Not so important,Somewhat important,Somewhat important,Somewhat important,,No,In-person on Election Day,Very closely,Always/almost always,Yes,Yes,Yes,Yes,Yes,Yes,,,,Agree,Agree,Agree,,,,,,,,,,,,
470067,Somewhat important,Very important,Somewhat important,Somewhat important,Very important,Very important,Very important,Very important,Somewhat important,Somewhat important,,3.0,In-person before Election Day,Somewhat closely,Always/almost always,Yes,Yes,Yes,Yes,Yes,Yes,Agree,,Agree,,,,,,,,,,,,,,,
470068,Very important,Very important,Very important,Not so important,Very important,Somewhat important,Very important,Very important,Not at all important,Very important,,No,Mail-in/Absentee ballot,Very closely,Always/almost always,Yes,Yes,Yes,Yes,Yes,Yes,Agree,,,Agree,,Agree,Agree,,,,,,,,,,,
470070,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Somewhat important,Somewhat important,,Yes,Mail-in/Absentee ballot,Very closely,Always/almost always,Yes,Yes,Yes,Yes,Yes,Yes,Agree,Agree,Agree,Agree,Agree,,,,,,,,,,,,,
470071,Very important,Very important,Somewhat important,Not so important,Very important,Somewhat important,Very important,Very important,Somewhat important,Somewhat important,,No,In-person on Election Day,Somewhat closely,Always/almost always,Yes,Yes,Yes,Yes,Yes,Yes,Agree,,,,,,Agree,,,,,,,,,,,
470072,Very important,Very important,Very important,Somewhat important,Very important,Somewhat important,Very important,Somewhat important,Not so important,Very important,,No,Mail-in/Absentee ballot,Very closely,Always/almost always,Yes,Yes,Yes,Yes,Yes,Yes,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,,,,,,,,,,
470073,Very important,Somewhat important,Very important,Somewhat important,Very important,Somewhat important,Very important,Somewhat important,Not at all important,Somewhat important,,No,In-person on Election Day,Very closely,Always/almost always,Yes,Yes,Yes,Yes,Yes,Yes,Agree,,,Agree,,,,,,,,,,,,,,
470074,Very important,Not so important,Somewhat important,Not so important,Very important,Very important,Very important,Very important,Not so important,Not so important,,3.0,In-person on Election Day,Not very closely,Always/almost always,Yes,Yes,Yes,Yes,Yes,Yes,Agree,Agree,Agree,,Agree,Agree,Agree,,,,,,,,,,,
480081,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Somewhat important,Very important,Somewhat important,,Yes,In-person on Election Day,Somewhat closely,Always/almost always,Yes,Yes,Yes,Yes,Yes,Yes,Agree,Agree,Agree,,Agree,,Agree,,,,,,,,,,,
470075,Very important,Very important,Somewhat important,Somewhat important,Very important,Very important,Somewhat important,Very important,Very important,Somewhat important,,3.0,Mail-in/Absentee ballot,Somewhat closely,Always/almost always,Yes,Yes,Yes,Yes,Yes,Yes,Agree,,,,Agree,,,,,,,,,,,,,
470077,Very important,Very important,Very important,Very important,Somewhat important,Very important,Very important,Somewhat important,Very important,Somewhat important,,Yes,In-person on Election Day,Very closely,Always/almost always,No,Yes,No,Yes,No,No,,,,Agree,,,,,,,,,,,,,,
470079,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Not at all important,,Yes,Mail-in/Absentee ballot,Somewhat closely,Always/almost always,Yes,Yes,Yes,Yes,Yes,Yes,Agree,,,,,,,,,,,,,,,,,
470080,Not so important,Not so important,Not so important,Somewhat important,Somewhat important,Very important,Very important,Somewhat important,Not at all important,Not at all important,,,,Not closely at all,Never,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,
470082,Very important,Very important,Somewhat important,Not so important,Very important,Very important,Very important,Very important,Not so important,Somewhat important,,No,Mail-in/Absentee ballot,Very closely,Always/almost always,Yes,Yes,Yes,Yes,Yes,Yes,,,Agree,,,,,,,,,,,,,,,
470087,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Somewhat important,,Yes,In-person before Election Day,Very closely,Always/almost always,Yes,Yes,Yes,Yes,Yes,Yes,Agree,,Agree,Agree,Agree,,Agree,,,,,,,,,,,
470088,Very important,Very important,Somewhat important,Not so important,Very important,Very important,Very important,Very important,Very important,Not so important,,3.0,In-person on Election Day,Somewhat closely,Always/almost always,Yes,Yes,Yes,Yes,Yes,Yes,Agree,,,,Agree,,,,,,,,,,,,,
470089,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,,3.0,Mail-in/Absentee ballot,Not closely at all,Never,No,No,No,No,No,No,,,,,,,,,Agree,,Agree,Agree,,,,,,
470090,Very important,Very important,Not at all important,Somewhat important,Very important,Not so important,Somewhat important,Somewhat important,Very important,Not so important,Other,Yes,Mail-in/Absentee ballot,Not very closely,Never,No,No,No,Yes,No,Yes,,,,,,,,,,,Agree,,,,,,,Agree
470092,Very important,Somewhat important,Somewhat important,Not so important,Very important,Not so important,Not so important,Very important,Not at all important,Very important,,No,Mail-in/Absentee ballot,Somewhat closely,Sometimes,Yes,No,No,No,No,No,Agree,,,,,,,Agree,,Agree,,,Agree,,,,,
470094,Very important,Very important,Very important,Somewhat important,Very important,Somewhat important,Very important,Very important,Somewhat important,Very important,,No,Mail-in/Absentee ballot,Very closely,Always/almost always,Yes,Yes,Yes,Yes,Yes,Yes,Agree,,Agree,Agree,,,,,,,,,,,,,,
470096,Very important,Very important,Very important,Very important,Very important,Very important,,Somewhat important,Somewhat important,Not at all important,,No,In-person on Election Day,Somewhat closely,Always/almost always,Yes,Yes,Yes,Yes,Yes,Yes,Agree,,,,Agree,Agree,Agree,,,,,,,,,,,
470097,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Somewhat important,Somewhat important,,Yes,In-person before Election Day,Very closely,Always/almost always,Yes,Yes,Yes,Yes,Yes,Yes,Agree,Agree,Agree,,Agree,,,,,,,,,,,,,
470098,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Very important,Very important,Very important,Very important,Very important,Somewhat important,,Yes,In-person on Election Day,Not very closely,Always/almost always,No,Yes,No,Yes,No,Yes,,,,,Agree,,,,,,,,,,,,,
470100,Not so important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Not so important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,,Yes,Mail-in/Absentee ballot,Not very closely,Always/almost always,Yes,Yes,Yes,Yes,Yes,No,,,,,,Agree,,,,,,,,,,,,
470101,Somewhat important,Not so important,Somewhat important,Not so important,Very important,Not so important,Somewhat important,Very important,,Somewhat important,No time,Yes,In-person before Election Day,Somewhat closely,Rarely,No,No,No,No,No,No,,,,Agree,,,Agree,,,,Agree,,,,,,,Agree
470102,Somewhat important,Somewhat important,Very important,Somewhat important,Somewhat important,Very important,Somewhat important,Very important,Somewhat important,Somewhat important,,Yes,In-person on Election Day,Somewhat closely,Rarely,No,No,No,No,No,No,,,Agree,,,,,,,,,,Agree,,,,,
470103,Very important,Somewhat important,Somewhat important,Somewhat important,Very important,Somewhat important,Very important,Very important,Somewhat important,Very important,,No,In-person on Election Day,Somewhat closely,Always/almost always,Yes,Yes,Yes,Yes,Yes,Yes,Agree,,,,,Agree,Agree,,,,,,,,,,,
470104,Very important,Somewhat important,Very important,Not at all important,Very important,Not at all important,Not so important,Very important,Not at all important,Very important,,3.0,Mail-in/Absentee ballot,Very closely,Always/almost always,Yes,Yes,Yes,Yes,Yes,Yes,Agree,,,,,,,,,,,,,,,,,
470106,Somewhat important,Not so important,Somewhat important,Very important,Somewhat important,Very important,Somewhat important,Somewhat important,Not at all important,Not so important,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
470107,Very important,Very important,Very important,Not at all important,Very important,Not at all important,Not so important,Somewhat important,Not at all important,Somewhat important,,No,Mail-in/Absentee ballot,Very closely,Sometimes,No,No,No,No,No,No,Agree,Agree,,,,,,,,Agree,,,,,,,,
470108,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,,No,In-person on Election Day,Somewhat closely,Always/almost always,Yes,Yes,Yes,Yes,Yes,Yes,Agree,Agree,Agree,Agree,,Agree,Agree,,,,,,,,,,,
470109,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Somewhat important,,Yes,Mail-in/Absentee ballot,Somewhat closely,Always/almost always,Yes,Yes,Yes,Yes,Yes,Yes,,,,Agree,,,,,,,,,,,,,,
470111,Very important,Very important,Very important,Very important,Very important,Somewhat important,Very important,Somewhat important,Very important,Not so important,,No,Mail-in/Absentee ballot,Very closely,Always/almost always,Yes,Yes,Yes,Yes,Yes,Yes,Agree,Agree,,Agree,,Agree,Agree,,,,,,,,,,,
470112,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Not so important,,Yes,In-person before Election Day,Very closely,Always/almost always,Yes,Yes,Yes,Yes,Yes,Yes,,Agree,,,,,,,,,,,,,,,,
470113,Very important,Very important,Very important,Not so important,Very important,Not so important,Not so important,Very important,Not at all important,Very important,,No,Mail-in/Absentee ballot,Very closely,Always/almost always,Yes,Yes,Yes,Yes,Yes,No,Agree,,Agree,,Agree,,Agree,,,,,,,,,,,
470115,Very important,Somewhat important,Somewhat important,Very important,Very important,Very important,Very important,Somewhat important,Very important,Somewhat important,,3.0,Mail-in/Absentee ballot,Not very closely,Always/almost always,Yes,Yes,Yes,Yes,Yes,Yes,Agree,Agree,Agree,,,,Agree,,,,,,,,,,,
470116,Very important,Not so important,Somewhat important,Not so important,Very important,Very important,Very important,Very important,Somewhat important,Not so important,,No,Mail-in/Absentee ballot,Somewhat closely,Always/almost always,Yes,Yes,Yes,Yes,Yes,Yes,Agree,Agree,Agree,,,,,,,,,,,,,,,
470117,Very important,Very important,Very important,Somewhat important,Very important,Very important,Very important,Very important,Very important,Very important,,No,Mail-in/Absentee ballot,Very closely,Always/almost always,Yes,Yes,Yes,Yes,Yes,Yes,Agree,Agree,Agree,,,,,,,,,,,,,,,
470118,Very important,Somewhat important,Somewhat important,Very important,Very important,Very important,Very important,Very important,Very important,Somewhat important,,No,In-person on Election Day,Somewhat closely,Always/almost always,Yes,Yes,Yes,Yes,Yes,Yes,Agree,,,,Agree,,,,,,,,,,,,,
470119,Very important,Very important,Very important,Somewhat important,Very important,Somewhat important,Very important,Somewhat important,Very important,Very important,,No,Mail-in/Absentee ballot,Somewhat closely,Always/almost always,Yes,Yes,Yes,Yes,Yes,Yes,Agree,,,Agree,Agree,Agree,Agree,,,,,,,,,,,
480127,Very important,Not at all important,Not so important,,Not so important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,,No,Mail-in/Absentee ballot,Not very closely,Always/almost always,Yes,Yes,Yes,Yes,Yes,Yes,,Agree,Agree,Agree,,,,,,,,,,,,,,
470120,Very important,Very important,Very important,Not so important,Very important,Not so important,Very important,Very important,Not so important,Not at all important,,Yes,Mail-in/Absentee ballot,Very closely,Always/almost always,No,Yes,No,Yes,No,Yes,Agree,Agree,,Agree,,,Agree,,,,,,,,,,,
470121,Very important,Somewhat important,Very important,Somewhat important,Very important,Very important,Very important,Somewhat important,Not so important,Somewhat important,,No,Mail-in/Absentee ballot,Very closely,Always/almost always,Yes,Yes,Yes,Yes,Yes,Yes,Agree,Agree,Agree,,Agree,,,,,,,,,,,,,
470122,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Somewhat important,,Yes,In-person on Election Day,Somewhat closely,Always/almost always,Yes,Yes,Yes,Yes,Yes,Yes,,,Agree,,,,,,,,,,,,,,,
470125,Very important,Somewhat important,Somewhat important,Somewhat important,Very important,Somewhat important,Somewhat important,Very important,Not so important,Very important,,No,In-person before Election Day,Somewhat closely,Always/almost always,Yes,Yes,Yes,Yes,Yes,Yes,Agree,Agree,Agree,,Agree,Agree,,,,,,,,,,,,
470126,Very important,Somewhat important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Somewhat important,,Yes,Mail-in/Absentee ballot,Somewhat closely,Always/almost always,Yes,Yes,No,Yes,No,Yes,Agree,,,Agree,,,,,,,,,,,,,,
470127,Somewhat important,Very important,Somewhat important,Somewhat important,Very important,Very important,Very important,Very important,Somewhat important,Not so important,Don’t want to,3.0,Mail-in/Absentee ballot,Not closely at all,Never,No,No,No,No,No,No,,,,,,,,,Agree,,,,,,,,,
470128,Very important,Very important,Somewhat important,Not so important,Very important,Somewhat important,Very important,Very important,Not at all important,Somewhat important,,No,In-person before Election Day,Very closely,Always/almost always,Yes,No,No,No,No,No,Agree,,,,,Agree,,,,,,,,,,,,
470131,Not so important,Somewhat important,Not so important,Not so important,Very important,Not so important,Very important,Very important,Very important,Not so important,,No,Mail-in/Absentee ballot,Not very closely,Never,No,Yes,Yes,Yes,No,Yes,,,,,,,,,,,,,,,,,Agree,
470133,Very important,Very important,Very important,Not so important,Very important,Somewhat important,Very important,Very important,Not at all important,Very important,,No,In-person on Election Day,Very closely,Always/almost always,Yes,Yes,Yes,Yes,Yes,Yes,Agree,,Agree,,Agree,Agree,Agree,,,,,,,,,,,
470134,Very important,Somewhat important,Not so important,Very important,Very important,Very important,,Very important,Very important,,,No,Mail-in/Absentee ballot,Not very closely,Rarely,No,Yes,No,Yes,No,No,,,Agree,,,,,,Agree,,Agree,,,,Agree,,,
470135,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Somewhat important,Very important,,Yes,In-person before Election Day,Somewhat closely,Always/almost always,Yes,Yes,Yes,Yes,Yes,Yes,Agree,,,Agree,,Agree,,,,,,,,,,,,
470137,Not at all important,Not at all important,Somewhat important,Very important,Very important,Very important,Very important,Somewhat important,Somewhat important,Very important,,No,In-person before Election Day,Not very closely,Never,No,No,No,No,No,No,,,,,,,,,Agree,Agree,,Agree,,,,,,
470138,Very important,Somewhat important,Somewhat important,Not at all important,Very important,Somewhat important,Somewhat important,Somewhat important,Not at all important,Somewhat important,,3.0,In-person before Election Day,Somewhat closely,Always/almost always,Yes,Yes,Yes,Yes,Yes,Yes,,,,Agree,,,,,,,,,,,,,,
