 RespId,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6
470065,,Somewhat,No impact,Significant,No impact,Significant
470067,Somewhat,Somewhat,Somewhat,Slight,Slight,Slight
470068,Somewhat,Somewhat,Significant,Somewhat,Somewhat,Significant
470070,Somewhat,Slight,Slight,No impact,Slight,Somewhat
470071,Somewhat,Somewhat,Slight,Slight,Slight,Slight
470072,Significant,Significant,Significant,Significant,Significant,Significant
470073,Somewhat,Somewhat,Somewhat,No impact,No impact,No impact
470074,Somewhat,Somewhat,Somewhat,Slight,Somewhat,Somewhat
480081,Significant,Significant,Significant,Slight,Slight,Somewhat
470075,Somewhat,Somewhat,Somewhat,Slight,Slight,Somewhat
470077,Significant,Significant,Somewhat,No impact,Somewhat,Significant
470079,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat
470080,Somewhat,Slight,Slight,No impact,No impact,No impact
470082,Somewhat,Somewhat,Somewhat,Slight,Slight,Slight
470087,Significant,Significant,Significant,Slight,Somewhat,Somewhat
470088,Somewhat,Somewhat,Somewhat,No impact,Somewhat,Significant
470089,Slight,Slight,Somewhat,Somewhat,Significant,Somewhat
470090,Significant,Slight,No impact,Somewhat,Significant,No impact
470092,Somewhat,Slight,Slight,No impact,Slight,Somewhat
470094,Significant,Significant,Significant,Significant,Somewhat,Significant
470096,Significant,Significant,Slight,Slight,Somewhat,No impact
470097,Somewhat,Significant,Somewhat,Slight,Somewhat,Somewhat
470098,Somewhat,Somewhat,Somewhat,Somewhat,Significant,Somewhat
470100,Significant,Significant,Significant,Somewhat,Significant,Significant
470101,Slight,Slight,Slight,Slight,Slight,Slight
470102,Slight,Somewhat,Somewhat,Slight,Significant,Significant
470103,Significant,Somewhat,Somewhat,No impact,Significant,Somewhat
470104,No impact,Slight,Slight,Somewhat,Slight,Somewhat
470106,,,,,,
470107,Slight,Slight,Slight,Somewhat,Slight,Slight
470108,Significant,Significant,Significant,Significant,Significant,Significant
470109,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat
470111,Significant,Somewhat,Slight,Significant,Significant,Somewhat
470112,Significant,Significant,Somewhat,Significant,Significant,Significant
470113,No impact,Slight,Slight,Slight,No impact,No impact
470115,No impact,Somewhat,Somewhat,Slight,Somewhat,Significant
470116,Significant,Significant,Somewhat,Slight,Slight,Somewhat
470117,Significant,Significant,Significant,Significant,Significant,Significant
470118,Significant,Somewhat,Somewhat,Slight,Somewhat,Significant
470119,Somewhat,Somewhat,Somewhat,Slight,Somewhat,Slight
480127,Somewhat,Somewhat,Somewhat,Somewhat,Slight,Significant
470120,Somewhat,Somewhat,Slight,Somewhat,Somewhat,Somewhat
470121,Significant,Significant,Significant,Significant,Significant,Significant
470122,Significant,Significant,Somewhat,Slight,Slight,Significant
470125,Significant,Significant,Somewhat,Somewhat,Significant,Significant
470126,Significant,Significant,Somewhat,Slight,Somewhat,Slight
470127,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat
470128,Somewhat,Somewhat,Significant,Somewhat,Slight,Somewhat
470131,No impact,Slight,Slight,Somewhat,Somewhat,Slight
470133,Slight,Somewhat,Somewhat,Somewhat,Slight,Somewhat
470134,Somewhat,Somewhat,Slight,Slight,Slight,Slight
470135,Significant,Significant,Somewhat,Significant,Significant,Significant
470137,Significant,Somewhat,Somewhat,No impact,Significant,Slight
470138,Significant,Significant,Significant,Somewhat,No impact,Significant
470139,Significant,Somewhat,Somewhat,Slight,Slight,Somewhat
470140,Somewhat,Slight,Slight,Slight,Somewhat,Significant
470141,Significant,Significant,Slight,Slight,Somewhat,Somewhat
470142,Significant,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat
480152,Somewhat,Significant,Significant,Somewhat,Somewhat,Significant
470143,Slight,Slight,Somewhat,No impact,No impact,Somewhat
470144,Somewhat,Somewhat,Somewhat,No impact,Slight,Somewhat
470145,Somewhat,Somewhat,Somewhat,No impact,No impact,No impact
470146,Significant,Significant,Significant,Somewhat,No impact,Significant
470147,Somewhat,Significant,Significant,No impact,Slight,Somewhat
470148,Somewhat,Somewhat,Somewhat,Somewhat,Significant,Somewhat
470149,Significant,Somewhat,Somewhat,Somewhat,Somewhat,Significant
470151,Slight,Slight,Somewhat,Somewhat,Somewhat,Slight
470152,Slight,Slight,Slight,Slight,Slight,Slight
470154,Significant,Significant,Significant,Significant,Significant,Significant
470158,Significant,Significant,Significant,Significant,Somewhat,Significant
470159,Significant,Somewhat,Slight,Somewhat,Somewhat,Somewhat
470160,Somewhat,Significant,Significant,Slight,Somewhat,Significant
470162,Significant,Significant,Somewhat,Significant,Somewhat,Significant
470163,Somewhat,Somewhat,Somewhat,No impact,No impact,Slight
470164,Significant,Slight,Slight,Slight,Somewhat,Significant
470165,Somewhat,Somewhat,Somewhat,Significant,Significant,Somewhat
470167,Somewhat,Somewhat,Somewhat,Slight,No impact,Somewhat
470168,No impact,No impact,No impact,No impact,No impact,No impact
470169,Significant,Significant,Somewhat,Slight,Slight,Somewhat
480183,Slight,No impact,No impact,No impact,No impact,Somewhat
470172,Slight,Significant,Significant,No impact,Slight,Slight
470174,Somewhat,Somewhat,Somewhat,Somewhat,No impact,Somewhat
470175,Significant,Significant,Significant,Significant,Significant,Significant
470177,Significant,Somewhat,Significant,Slight,Somewhat,Significant
470179,Significant,Significant,Somewhat,Somewhat,Somewhat,Somewhat
470180,Somewhat,Significant,Somewhat,Somewhat,Somewhat,Somewhat
470181,Slight,Slight,Slight,Somewhat,Slight,Slight
470182,Significant,Somewhat,Somewhat,Slight,Slight,Significant
470183,Significant,Significant,Significant,Somewhat,Somewhat,Significant
470184,Somewhat,Somewhat,Somewhat,No impact,Slight,Somewhat
470186,Significant,Significant,Somewhat,Significant,Significant,Significant
470187,Significant,Significant,Significant,Significant,Significant,Significant
470188,Significant,Somewhat,Somewhat,No impact,No impact,Somewhat
470189,Significant,Slight,Slight,No impact,Slight,Significant
470190,Significant,Significant,Significant,Slight,Somewhat,Slight
470191,Significant,Significant,Somewhat,Somewhat,Significant,Somewhat
470193,Significant,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat
470196,Significant,Significant,Significant,Somewhat,Significant,Significant
470198,Somewhat,Somewhat,Slight,No impact,Significant,Somewhat
470200,Significant,Somewhat,Somewhat,Somewhat,Significant,Somewhat
470201,Significant,Significant,Significant,No impact,Significant,Significant
470205,Somewhat,Somewhat,Significant,Slight,Somewhat,Slight
470206,Slight,Slight,Slight,No impact,Slight,Somewhat
470207,Significant,Somewhat,Somewhat,Somewhat,Significant,Somewhat
470208,Significant,Significant,Significant,Significant,Significant,Significant
480222,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat
470212,Significant,Significant,Significant,Somewhat,Slight,Slight
470213,Significant,Significant,Significant,Slight,Somewhat,Significant
470214,Somewhat,Somewhat,Somewhat,No impact,Somewhat,Somewhat
470215,Significant,Significant,Significant,No impact,Significant,Significant
480230,Somewhat,Somewhat,Somewhat,Slight,Slight,Somewhat
470216,Somewhat,Significant,Somewhat,Significant,,Significant
470217,Somewhat,Somewhat,Somewhat,Significant,Slight,Somewhat
470218,No impact,No impact,No impact,No impact,No impact,No impact
470219,Significant,Somewhat,No impact,Slight,Somewhat,Somewhat
470220,Significant,Somewhat,Somewhat,Significant,Significant,Significant
470222,Significant,Somewhat,Somewhat,Somewhat,Significant,Somewhat
470225,Significant,Significant,Somewhat,No impact,Slight,Slight
470228,Significant,Somewhat,Somewhat,Significant,Somewhat,Somewhat
470229,Slight,Somewhat,Slight,No impact,No impact,Significant
470230,Slight,Significant,Somewhat,Somewhat,Slight,Significant
470232,Significant,Significant,Slight,Significant,Significant,Somewhat
470233,Significant,Significant,Somewhat,No impact,Somewhat,Somewhat
470235,Somewhat,Somewhat,Somewhat,Slight,Slight,Somewhat
470237,Slight,Slight,Slight,Slight,Slight,Somewhat
470238,Slight,Slight,Slight,Slight,Slight,Slight
470239,Somewhat,Somewhat,Somewhat,Significant,Somewhat,Significant
470241,No impact,No impact,No impact,No impact,No impact,No impact
470242,Significant,Somewhat,Slight,No impact,Somewhat,Significant
470243,Significant,Significant,Somewhat,Slight,Slight,Somewhat
470246,No impact,Slight,Slight,No impact,No impact,Somewhat
470247,Significant,Significant,Significant,Significant,Significant,Significant
470248,No impact,No impact,No impact,No impact,No impact,No impact
470250,Somewhat,Somewhat,Significant,Slight,No impact,Significant
470251,Somewhat,No impact,No impact,No impact,No impact,Somewhat
470255,Significant,Significant,Somewhat,Significant,Somewhat,Significant
480273,Somewhat,Somewhat,Significant,Significant,Significant,Somewhat
470256,Slight,Slight,Somewhat,Slight,Slight,Somewhat
470257,Significant,Significant,Significant,Significant,Significant,Significant
470259,Significant,Significant,Significant,Somewhat,Somewhat,Somewhat
470260,Somewhat,Somewhat,Slight,Slight,Somewhat,Slight
470262,Somewhat,Somewhat,Somewhat,Significant,Somewhat,No impact
470266,Significant,Significant,Significant,Significant,Significant,Significant
470267,Slight,Somewhat,Slight,Somewhat,Slight,Slight
470268,Significant,No impact,No impact,No impact,No impact,Significant
470270,Significant,Somewhat,Somewhat,Somewhat,Somewhat,Significant
470271,Slight,No impact,Slight,No impact,No impact,Slight
470272,Significant,Significant,Significant,Somewhat,Significant,Significant
470273,Somewhat,Somewhat,Somewhat,Somewhat,Significant,Somewhat
480292,Significant,Significant,Significant,Somewhat,Somewhat,Somewhat
470274,Slight,Slight,Slight,Slight,No impact,Slight
470275,Somewhat,Somewhat,Somewhat,Significant,Somewhat,Slight
470276,Significant,Significant,Significant,Significant,Somewhat,Significant
480296,Significant,Somewhat,Somewhat,Slight,Slight,Significant
470277,Significant,Significant,Significant,Significant,Significant,Significant
470278,Significant,Significant,Significant,Slight,Somewhat,Significant
470279,Slight,Somewhat,Somewhat,No impact,Slight,Somewhat
470282,Slight,Somewhat,Somewhat,Slight,No impact,Slight
470283,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat
480304,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat
470284,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat
470285,Significant,Somewhat,Somewhat,Somewhat,Significant,Somewhat
470286,Significant,Significant,Significant,Significant,Significant,Somewhat
470289,Somewhat,Slight,Somewhat,Somewhat,Somewhat,Significant
470290,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat
470291,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat
470292,Significant,Somewhat,Somewhat,Slight,Somewhat,Somewhat
470293,Somewhat,Significant,Significant,Somewhat,Significant,Significant
470294,Significant,No impact,Somewhat,Slight,Significant,No impact
470301,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Significant
470305,Significant,Somewhat,Slight,Somewhat,No impact,Slight
470309,Slight,Slight,Slight,Somewhat,No impact,Slight
470310,Significant,Significant,Significant,Significant,Significant,Significant
470311,Significant,Significant,Somewhat,Slight,Slight,Somewhat
470312,Slight,Slight,No impact,Somewhat,No impact,Somewhat
470313,Significant,Somewhat,Somewhat,Significant,Somewhat,Somewhat
470314,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat
480336,Significant,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat
480339,Significant,Significant,Significant,Significant,Somewhat,Significant
470317,Slight,Significant,Somewhat,No impact,Somewhat,No impact
470319,Somewhat,Somewhat,Slight,No impact,Somewhat,Somewhat
470320,Somewhat,Significant,Somewhat,Slight,Somewhat,Somewhat
470321,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat
470322,Significant,Significant,Significant,Significant,Somewhat,Significant
470323,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat
470326,Significant,Significant,Significant,Somewhat,Somewhat,Somewhat
470329,Somewhat,Somewhat,Somewhat,Somewhat,Slight,Somewhat
470330,Significant,Significant,Significant,No impact,No impact,Significant
470331,Significant,Significant,Significant,Somewhat,Somewhat,Significant
470332,Significant,Significant,Significant,Slight,No impact,Significant
470333,Significant,Significant,Significant,Somewhat,Significant,Somewhat
470334,Significant,Significant,Significant,Significant,Significant,Significant
470338,Significant,Significant,Significant,Slight,Somewhat,Somewhat
470340,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat
470341,Somewhat,Significant,Significant,Somewhat,Significant,Significant
470343,Significant,Somewhat,Slight,Significant,Somewhat,No impact
470344,Slight,Slight,Slight,Slight,Slight,Slight
470345,Significant,Significant,Somewhat,Significant,Significant,Significant
470348,Somewhat,Somewhat,Somewhat,Somewhat,Slight,Slight
470349,Significant,Significant,Significant,No impact,Somewhat,Somewhat
470350,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat
470351,Significant,Significant,Significant,Slight,Somewhat,Significant
470352,Significant,Significant,Significant,Significant,Somewhat,No impact
470353,Somewhat,Somewhat,Significant,Somewhat,Somewhat,Somewhat
470354,Significant,Significant,Significant,Significant,Significant,Significant
470355,Somewhat,Significant,Slight,Significant,Somewhat,Slight
470356,Slight,Somewhat,Slight,No impact,Slight,Significant
470358,Slight,Slight,Slight,No impact,No impact,No impact
480385,Somewhat,Significant,Significant,Somewhat,Somewhat,Somewhat
470359,Somewhat,Somewhat,Somewhat,Slight,Somewhat,Somewhat
470361,Somewhat,Somewhat,Somewhat,Somewhat,Significant,Significant
470362,Significant,Significant,Significant,Significant,Significant,Significant
470363,Somewhat,Significant,Somewhat,Slight,Significant,No impact
470364,Significant,Significant,Significant,Somewhat,Somewhat,Significant
470365,Somewhat,Significant,Significant,Somewhat,No impact,Somewhat
470366,Slight,Somewhat,Significant,Slight,Somewhat,Somewhat
470367,Significant,Somewhat,Slight,Slight,No impact,Significant
470370,Somewhat,Significant,Somewhat,Somewhat,Slight,Somewhat
470371,Significant,Significant,Significant,Somewhat,Slight,Somewhat
470372,Somewhat,Somewhat,Somewhat,Slight,Somewhat,Somewhat
470373,Significant,Significant,Somewhat,Slight,Somewhat,Somewhat
470374,Somewhat,Somewhat,Somewhat,Significant,Somewhat,Somewhat
470375,Significant,Somewhat,Somewhat,Slight,Somewhat,Slight
470376,Somewhat,Somewhat,Somewhat,Slight,Somewhat,Somewhat
470377,Somewhat,Somewhat,Somewhat,Significant,Somewhat,Somewhat
470379,,,,,,
470382,Significant,Significant,Significant,Slight,Somewhat,Significant
470383,Somewhat,Somewhat,Somewhat,Somewhat,Slight,Slight
470384,Significant,No impact,No impact,Significant,Somewhat,Slight
470385,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat
470387,Significant,Significant,Significant,No impact,Somewhat,Slight
470389,Significant,Significant,Somewhat,Significant,Somewhat,Significant
470391,Somewhat,Somewhat,Slight,Somewhat,Slight,Slight
470392,Significant,Significant,Significant,Somewhat,Somewhat,Significant
470393,Somewhat,Somewhat,Significant,Somewhat,Somewhat,Somewhat
470394,Somewhat,Somewhat,Slight,Slight,Slight,Slight
470395,Significant,Somewhat,No impact,Slight,No impact,Somewhat
470396,Somewhat,Slight,Slight,Slight,Slight,Slight
470397,Somewhat,Somewhat,Slight,Somewhat,Somewhat,Somewhat
470399,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat
470403,Significant,Significant,Significant,Significant,Significant,Significant
480432,Somewhat,Significant,Significant,Somewhat,Significant,Significant
470405,Slight,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat
470407,Slight,Slight,Slight,Slight,Slight,Slight
470408,Somewhat,Somewhat,Slight,No impact,Slight,Significant
470409,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat
470411,Slight,Significant,Significant,Significant,Significant,Significant
470412,Slight,Slight,Slight,No impact,No impact,Slight
470414,Significant,Somewhat,Significant,Slight,Slight,Somewhat
470415,Somewhat,Somewhat,Somewhat,Somewhat,Slight,Somewhat
470416,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat
470417,Slight,Somewhat,Significant,No impact,Somewhat,Slight
470419,Significant,Significant,Significant,Somewhat,Significant,Significant
470420,Significant,Significant,Significant,No impact,Significant,Slight
470421,Significant,Significant,Significant,No impact,Somewhat,Significant
470422,Significant,Significant,Somewhat,Significant,Somewhat,Significant
470423,Significant,Significant,Significant,No impact,Significant,Slight
470424,Significant,Significant,Significant,Significant,Slight,Somewhat
470425,Somewhat,Significant,Significant,Somewhat,Slight,Somewhat
480454,Somewhat,Somewhat,Slight,Slight,Slight,Slight
470426,Significant,Somewhat,Somewhat,Slight,No impact,Significant
470427,Slight,Somewhat,Somewhat,Somewhat,Slight,Slight
470428,Somewhat,Somewhat,Somewhat,Slight,Somewhat,Significant
470429,Significant,Significant,Somewhat,Slight,Somewhat,Significant
470430,Somewhat,Significant,Somewhat,No impact,Slight,Somewhat
470431,Significant,Somewhat,Somewhat,Somewhat,Slight,Significant
470433,Significant,Significant,Somewhat,Somewhat,Slight,Somewhat
470434,Significant,Significant,Somewhat,Slight,Slight,Significant
470436,Significant,Significant,Significant,Somewhat,Somewhat,Slight
470437,Significant,Significant,Significant,Significant,Significant,Slight
470439,No impact,No impact,Slight,No impact,Slight,Slight
470440,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat
470442,Somewhat,Somewhat,Slight,Somewhat,Slight,Slight
470444,Significant,Significant,Significant,No impact,Significant,Significant
470445,Significant,Significant,Somewhat,Somewhat,Somewhat,Somewhat
470446,Significant,Significant,Slight,Significant,Significant,Significant
470448,Significant,Significant,Significant,Somewhat,Significant,Significant
480478,Significant,Significant,Significant,Significant,,Significant
470449,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat
470450,Somewhat,Significant,Significant,Somewhat,Slight,No impact
470451,Somewhat,Somewhat,Somewhat,Somewhat,Slight,Somewhat
470452,Significant,Significant,Significant,Significant,Slight,Significant
470455,Somewhat,Significant,Significant,Slight,Somewhat,Slight
470457,Slight,No impact,Somewhat,No impact,No impact,Somewhat
470458,Somewhat,Somewhat,Slight,Slight,Slight,Slight
470459,Significant,Somewhat,Somewhat,Slight,Slight,Significant
470460,Somewhat,Significant,Significant,Slight,Somewhat,Somewhat
480491,Significant,Significant,Significant,Somewhat,Somewhat,Significant
470461,Somewhat,Slight,Slight,Somewhat,Somewhat,Slight
470466,Somewhat,Slight,Somewhat,Slight,Somewhat,Somewhat
470468,Significant,Significant,Significant,Somewhat,Somewhat,Somewhat
470469,Somewhat,Significant,Significant,Somewhat,Somewhat,Somewhat
470470,Significant,Significant,Significant,No impact,Significant,Somewhat
470471,Significant,Significant,Significant,Slight,Significant,Significant
470472,Somewhat,Significant,Significant,No impact,Slight,Significant
470474,Significant,Significant,Somewhat,Somewhat,Slight,Somewhat
470476,Significant,Significant,Significant,Somewhat,Significant,Significant
470477,Significant,Somewhat,Somewhat,No impact,Somewhat,Somewhat
470478,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat
470480,Significant,Somewhat,Somewhat,Significant,Slight,Somewhat
470481,Slight,Slight,Slight,Somewhat,Slight,Slight
470482,No impact,No impact,No impact,Slight,No impact,Slight
470483,Somewhat,Somewhat,Slight,Significant,Significant,Significant
470484,Significant,Significant,Significant,Somewhat,Somewhat,Significant
470485,Somewhat,Somewhat,Slight,Slight,Significant,Slight
470487,Slight,Somewhat,Somewhat,Slight,Slight,Somewhat
470488,Significant,Significant,Significant,Somewhat,Somewhat,Somewhat
480520,Somewhat,Slight,Somewhat,Somewhat,Slight,Somewhat
470489,Somewhat,Somewhat,Somewhat,Somewhat,Slight,Somewhat
470490,Significant,Somewhat,Somewhat,Somewhat,Somewhat,Slight
470491,No impact,No impact,Slight,No impact,No impact,No impact
470492,Somewhat,Somewhat,Somewhat,Slight,Somewhat,Slight
470495,Significant,Significant,Somewhat,Somewhat,Somewhat,No impact
470496,Significant,Somewhat,Slight,Somewhat,Somewhat,Slight
470497,Somewhat,Somewhat,Somewhat,No impact,Slight,Somewhat
470498,Somewhat,Somewhat,Significant,Slight,Slight,Significant
470499,Slight,Slight,No impact,No impact,Slight,Somewhat
480532,No impact,Slight,Somewhat,No impact,Significant,No impact
470501,Significant,Somewhat,Somewhat,Slight,Somewhat,Significant
470502,Significant,Significant,Significant,No impact,Somewhat,Significant
470503,Significant,Significant,Somewhat,Significant,Somewhat,Somewhat
470504,Significant,Significant,Somewhat,Significant,Somewhat,Somewhat
470505,Significant,Somewhat,Slight,Slight,Slight,Somewhat
470506,Somewhat,Somewhat,Somewhat,Slight,Somewhat,Somewhat
480540,Somewhat,Somewhat,Somewhat,Slight,Somewhat,Somewhat
470507,Somewhat,Significant,Significant,Somewhat,Significant,Significant
470508,Somewhat,Somewhat,Somewhat,Slight,No impact,Somewhat
470513,Somewhat,Somewhat,Significant,Slight,Significant,Somewhat
470514,Slight,No impact,No impact,No impact,Slight,Slight
470515,Somewhat,Significant,Significant,Somewhat,Somewhat,Significant
470517,Significant,Significant,Significant,Somewhat,Somewhat,Significant
470518,Significant,Significant,Significant,Significant,Somewhat,Significant
470519,Significant,Significant,Somewhat,Somewhat,Somewhat,Significant
470520,Somewhat,Somewhat,Slight,Somewhat,Slight,Slight
470521,Somewhat,Somewhat,Significant,Significant,Significant,Significant
470523,Slight,Slight,Slight,Slight,Significant,Somewhat
470524,Somewhat,Somewhat,Somewhat,Slight,Somewhat,Somewhat
470525,Slight,Somewhat,Somewhat,No impact,Somewhat,Somewhat
470526,Somewhat,Slight,No impact,No impact,Slight,Somewhat
470527,Significant,Significant,Significant,Significant,Significant,Significant
470528,Significant,Significant,Significant,Somewhat,Significant,Significant
470529,Significant,Significant,Significant,Somewhat,Somewhat,Significant
470530,Somewhat,Somewhat,Somewhat,Slight,Somewhat,Somewhat
470531,Significant,Significant,Significant,Slight,No impact,Significant
470532,Significant,Somewhat,Somewhat,Somewhat,Slight,Somewhat
470535,Somewhat,Somewhat,Somewhat,No impact,Somewhat,Somewhat
470536,Significant,Significant,Somewhat,Slight,Slight,No impact
470540,Significant,Significant,Somewhat,Significant,Significant,Significant
470541,Significant,Significant,Significant,Somewhat,Somewhat,Somewhat
470542,Significant,Significant,Somewhat,Somewhat,Somewhat,Somewhat
470543,Somewhat,Somewhat,Somewhat,Somewhat,Slight,Somewhat
470545,Somewhat,Somewhat,Somewhat,Somewhat,Slight,Somewhat
470547,Somewhat,Slight,Slight,Significant,Somewhat,Slight
470548,Significant,Significant,Somewhat,Significant,Somewhat,Significant
470549,Significant,Significant,Somewhat,Slight,Significant,Significant
470550,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat
470552,Significant,Significant,Significant,Somewhat,Somewhat,Somewhat
470554,Slight,No impact,No impact,No impact,Somewhat,No impact
470556,Slight,,Somewhat,Somewhat,Slight,Slight
470557,Significant,Significant,Significant,Somewhat,Somewhat,Slight
470558,Significant,Somewhat,No impact,Significant,No impact,Significant
470559,Somewhat,Somewhat,Somewhat,Slight,Somewhat,Somewhat
470560,Somewhat,Somewhat,Somewhat,Slight,Slight,Slight
470561,Somewhat,Somewhat,Somewhat,No impact,Significant,Somewhat
470562,Significant,Significant,Somewhat,Somewhat,Somewhat,Somewhat
470564,No impact,No impact,No impact,No impact,No impact,No impact
470565,Somewhat,Somewhat,Somewhat,Somewhat,Slight,Slight
470567,Significant,Significant,Slight,Slight,No impact,No impact
470568,Significant,Significant,Significant,Somewhat,Significant,Slight
470570,Somewhat,Somewhat,Somewhat,Slight,No impact,Significant
470571,Significant,Significant,Significant,No impact,Somewhat,Significant
470572,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat
470573,Slight,Somewhat,Slight,Slight,No impact,Somewhat
470574,Significant,Somewhat,Slight,Slight,Somewhat,Significant
470575,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat
470576,Somewhat,Significant,Somewhat,Significant,Significant,Somewhat
470577,No impact,Slight,Somewhat,Somewhat,No impact,Slight
480614,Somewhat,Significant,Somewhat,Significant,Somewhat,Significant
470580,Significant,Somewhat,Significant,Slight,Slight,Significant
470581,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Significant
470582,Somewhat,Slight,Slight,No impact,Somewhat,Significant
470583,Significant,Significant,Significant,Slight,Somewhat,Significant
480620,Slight,Somewhat,Somewhat,Slight,Slight,Slight
470584,Slight,Somewhat,Slight,No impact,No impact,Somewhat
470585,Significant,Significant,Somewhat,Significant,Slight,Somewhat
470586,Significant,Significant,Somewhat,Slight,Significant,Significant
470587,Significant,Significant,Significant,Somewhat,Significant,Significant
470589,Somewhat,Somewhat,Somewhat,Slight,Somewhat,Somewhat
